date,000300.SH,000905.SH,000852.SH,399006.SZ,399102.SZ
2011/1/4,3189.682,5011.498,5230.735,1155.106,1142.985
2011/1/5,3175.662,5028.766,5243.372,1155.349,1143.515
2011/1/6,3159.643,5001.283,5224.823,1134.792,1126.544
2011/1/7,3166.624,4975.144,5191.945,1126.517,1116.285
2011/1/10,3108.187,4830.562,5051.952,1093.765,1082.967
2011/1/11,3124.922,4804.822,5006.632,1078.365,1068.628
2011/1/12,3142.337,4833.58,5042.236,1089.673,1077.845
2011/1/13,3141.284,4826.757,5043.775,1093.856,1080.136
2011/1/14,3091.862,4723.426,4942.074,1067.418,1053.913
2011/1/17,2974.35,4519.913,4728.306,1028.161,1013.638
2011/1/18,2977.648,4536.964,4750.153,1025.716,1012.067
2011/1/19,3044.851,4646.087,4873.798,1048.535,1033.57
2011/1/20,2944.713,4477.359,4699.945,1020.389,1003.844
2011/1/21,2983.456,4506.322,4739.904,1024.505,1007.299
2011/1/24,2954.232,4398.495,4636.905,994.967,976.974
2011/1/25,2938.654,4341.909,4540.682,978.998,962.488
2011/1/26,2978.431,4424.892,4619.121,995.744,978.438
2011/1/27,3026.466,4502.808,4695.329,1013.024,994.726
2011/1/28,3036.735,4548.206,4749.429,1020.938,1002.199
2011/1/31,3076.508,4610.86,4816.663,1029.12,1011.257
2011/2/1,3077.283,4630.58,4830.407,1032.604,1012.135
2011/2/9,3040.949,4609.717,4820.363,1025.152,1001.3
2011/2/10,3104.163,4733.973,4962.519,1063.946,1039.432
2011/2/11,3120.956,4786.806,5012.78,1071.582,1049.847
2011/2/14,3219.143,4872.495,5087.252,1086.558,1064.467
2011/2/15,3217.671,4869.687,5100.428,1087.725,1063.404
2011/2/16,3248.527,4952.667,5196.151,1107.24,1083.357
2011/2/17,3245.907,4987.48,5231.708,1115.334,1087.631
2011/2/18,3211.876,4941.432,5197.122,1100.461,1076.78
2011/2/21,3257.908,5042.967,5304.079,1117.672,1095.752
2011/2/22,3163.578,4909.745,5166.968,1088.266,1065.577
2011/2/23,3174.742,4979.057,5235.266,1114.052,1087.461
2011/2/24,3190.935,5027.731,5269.962,1101.953,1076.874
2011/2/25,3197.617,5032.797,5279.127,1095.098,1071.569
2011/2/28,3239.559,5095.208,5347.299,1099.776,1076.843
2011/3/1,3254.893,5122.441,5373.203,1098.003,1075.16
2011/3/2,3243.298,5108.74,5362.239,1088.897,1066.649
2011/3/3,3221.718,5009.047,5266.435,1064.307,1044.119
2011/3/4,3270.666,5067.621,5330.17,1071.86,1052.37
2011/3/7,3334.51,5138.248,5389.84,1078.111,1058.919
2011/3/8,3337.457,5165.735,5425.681,1084.821,1065.769
2011/3/9,3338.858,5181.368,5446.142,1087.299,1067.663
2011/3/10,3280.259,5143.413,5413.565,1093.904,1074.526
2011/3/11,3247.376,5139.746,5406.95,1101.76,1081.651
2011/3/14,3262.92,5190.037,5462.395,1107.537,1089.219
2011/3/15,3203.961,5131.332,5411.269,1094.954,1075.686
2011/3/16,3248.195,5199.358,5481.891,1102.215,1082.643
2011/3/17,3197.1,5104.134,5377.458,1078.371,1061.225
2011/3/18,3215.685,5126.934,5417.939,1083.597,1066.078
2011/3/21,3207.11,5086.108,5389.572,1070.601,1057.076
2011/3/22,3222.961,5085.812,5389.592,1067.285,1052.433
2011/3/23,3264.926,5155.337,5448.016,1076.563,1061.662
2011/3/24,3251.361,5169.264,5473.535,1077.988,1062.196
2011/3/25,3294.484,5212.345,5502.752,1072.343,1057.822
2011/3/28,3290.571,5199.552,5493.785,1052.113,1040.597
2011/3/29,3257.979,5111.153,5404.851,1019.04,1008.253
2011/3/30,3256.08,5064.545,5357.795,1006.366,993.141
2011/3/31,3223.288,5000.402,5285.193,1008.296,995.051
2011/4/1,3272.729,5065.076,5346.701,1015.076,1002.421
2011/4/6,3311.067,5057.84,5345.396,994.261,984.644
2011/4/7,3324.419,5089.751,5373.334,1004.412,993.65
2011/4/8,3353.358,5148.799,5430.062,1019.142,1006.783
2011/4/11,3333.427,5107.137,5396.874,1002.804,991
2011/4/12,3326.771,5114.459,5377.314,1000.165,987.08
2011/4/13,3372.031,5165.207,5424.455,1020.747,1005.249
2011/4/14,3353.56,5150.869,5419.136,1016.616,1000.137
