Programming,DataPer,Date
C,20.24,2001/5/30
C,20.77,2001/6/30
C,20.75,2001/7/30
C,20.77,2001/8/28
C,19.75,2001/9/26
C,19.21,2001/10/28
C,20.14,2001-11-31
C,18.83,2002-00-30
C,19.89,2002/1/27
C,19.85,2002-02-29
C,19.82,2002/3/29
C,19.99,2002/4/29
C,19.57,2002/5/29
C,19.25,2002-06-31
C,18.16,2002/7/29
C,18.7,2002/8/29
C,18.73,2002/9/30
C,17.5,2002/10/29
C,17.26,2002-11-31
C,18.25,2003-00-31
C,18.54,2003/1/28
C,17.21,2003-02-31
C,18.02,2003/3/30
C,18.5,2003/4/30
C,18.52,2003/5/30
C,17.97,2003-06-31
C,17.78,2003/7/31
C,18.31,2003/8/30
C,17,2003-09-31
C,18.47,2003/10/30
C,18.6,2003-11-31
C,18.2,2004-00-31
C,18.93,2004/1/29
C,17.75,2004-02-31
C,17.95,2004/3/30
C,18.29,2004/4/30
C,17.14,2004/5/30
C,16.33,2004-06-31
C,17.12,2004/7/30
C,18.17,2004/8/30
C,17.99,2004-09-31
C,19.7,2004/10/30
C,20.71,2004-11-31
C,19.82,2005-00-31
C,19.47,2005/1/28
C,18.63,2005-02-31
C,18.52,2005/3/30
C,19.37,2005-04-31
C,19.85,2005/5/30
C,19.47,2005-06-31
C,19.16,2005/7/31
C,18.77,2005/8/30
C,19.63,2005/11/3
C,19.01,2006-00-04
C,18.33,2006/1/2
C,17.79,2006/2/1
C,17.69,2006/3/2
C,17.69,2006/4/1
C,18.25,2006/5/1
C,17.83,2006/6/2
C,17.43,2006/7/2
C,18.06,2006/8/2
C,17.66,2006/9/1
C,17.2,2006/10/2
C,16.62,2006/11/1
C,15.81,2007-00-02
C,16.1,2007/1/3
C,15.63,2007/2/3
C,14.94,2007/3/1
C,15.15,2007/4/5
C,15.97,2007/5/2
C,16.36,2007/6/2
C,15.7,2007/7/5
C,14.91,2007/8/2
C,14.59,2007/9/4
C,13.97,2007/10/4
C,13.17,2007/11/3
C,13.92,2008-00-03
C,14.86,2008/1/7
C,15.51,2008/5/1
C,15.95,2008/6/2
C,16.18,2008/7/3
C,15.38,2008/8/3
C,15.57,2008/9/6
C,15.28,2008/10/2
C,15.02,2008/11/3
C,15.93,2009-00-02
C,15.84,2009/1/1
C,15.86,2009/2/5
C,15.47,2009/3/7
C,16.13,2009/4/1
C,16.78,2009/5/4
C,17.32,2009/6/2
C,17.22,2009/7/1
C,16.86,2009/8/5
C,16.84,2009/9/2
C,17.32,2009/10/2
C,16.28,2009/11/2
C,16.22,2010-00-05
C,16.6,2010/1/7
C,17.28,2010/2/7
C,18.06,2010/3/5
C,18.19,2010/4/15
C,18.48,2010/6/6
C,17.87,2010/6/30
C,17.15,2010/8/11
C,17.18,2010/9/2
C,16.72,2010/10/3
C,16.08,2010/11/7
C,15.82,2011-00-02
C,14.99,2011/1/8
C,15.26,2011/2/8
C,16.16,2011/3/3
C,16.17,2011/4/2
C,16.28,2011/5/5
C,16.28,2011/5/27
C,17.28,2011/6/8
C,17.39,2011/7/3
C,18,2011/8/10
C,17.71,2011/9/9
C,17.32,2011/10/7
C,17.06,2011/11/4
C,16.97,2012-00-08
C,16.52,2012/1/5
C,17.09,2012/2/11
C,17.55,2012/3/8
C,17.35,2012/4/9
C,17.72,2012/5/10
C,18.33,2012/6/4
C,18.94,2012/7/10
C,19.3,2012/8/2
C,19.82,2012/9/5
C,19.22,2012/10/4
C,18.7,2012/11/2
C,17.85,2013-00-05
C,17.08,2013/1/8
C,17.14,2013/2/11
C,17.86,2013/3/7
C,18.73,2013/4/8
C,17.81,2013/5/9
C,17.63,2013/6/7
C,17.63,2013/6/12
C,15.97,2013/7/4
C,16.98,2013/8/11
C,17.25,2013/9/10
C,18.16,2013/10/9
C,17.89,2013/11/6
C,17.94,2014-00-01
C,18.33,2014/1/8
C,17.53,2014/2/3
C,17.63,2014/3/10
C,16.93,2014/4/7
C,16.19,2014/5/8
C,17.14,2014/6/6
C,16.4,2014/7/11
C,16.72,2014/8/1
C,17.66,2014/9/3
C,17.47,2014/10/8
C,17.59,2014/11/7
C,16.7,2015-00-06
C,16.49,2015/1/5
C,16.64,2015/2/7
C,15.75,2015/3/13
C,16.85,2015/4/13
C,16.79,2015/5/6
C,16.15,2015/6/12
C,14.73,2015/7/6
C,15.62,2015/8/5
C,16.19,2015/9/4
C,17.15,2015/10/7
C,16.46,2015/11/4
C,16.04,2016-00-02
C,15.59,2016/1/2
C,14.6,2016/2/3
C,13.91,2016/3/7
C,13.22,2016/4/6
C,12.38,2016/5/5
C,12.24,2016/6/4
C,11.3,2016/7/6
